x_width:50
y_width:50
x_player_start:2
y_player_start:5
walls
0,6
0,12
0,13
0,17
0,19
0,20
0,23
0,28
0,30
0,33
0,38
0,39
0,48
1,3
1,10
1,11
1,12
1,16
1,29
1,30
1,32
1,33
1,40
1,46
1,49
2,2
2,7
2,12
2,15
2,17
2,20
2,24
2,28
2,35
2,36
2,39
3,8
3,9
3,10
3,19
3,21
3,24
3,29
3,36
3,37
3,38
3,42
3,43
3,46
3,47
3,49
4,0
4,7
4,12
4,14
4,17
4,21
4,22
4,29
4,30
4,33
4,34
4,35
4,40
4,43
4,47
4,49
5,3
5,6
5,15
5,17
5,21
5,24
5,39
5,42
5,43
5,44
5,48
6,0
6,9
6,10
6,14
6,18
6,19
6,24
6,31
6,41
6,47
7,0
7,2
7,4
7,5
7,9
7,23
7,25
7,28
7,32
7,33
7,36
7,37
7,38
8,3
8,8
8,10
8,15
8,16
8,19
8,20
8,22
8,23
8,29
8,30
8,34
8,35
8,39
8,48
9,0
9,3
9,4
9,5
9,17
9,21
9,32
9,38
9,40
9,47
10,4
10,7
10,8
10,13
10,14
10,16
10,20
10,23
10,30
10,31
10,32
10,34
10,36
10,41
10,47
10,48
10,49
11,1
11,2
11,3
11,7
11,8
11,14
11,18
11,24
11,26
11,27
11,36
11,45
11,47
12,8
12,9
12,12
12,25
12,32
12,33
12,34
12,38
12,44
12,45
12,47
12,49
13,4
13,7
13,10
13,12
13,16
13,18
13,30
13,34
13,49
14,0
14,2
14,5
14,10
14,21
14,23
14,31
14,32
14,38
14,47
14,49
15,1
15,3
15,4
15,6
15,8
15,11
15,15
15,16
15,18
15,20
15,25
15,30
15,37
15,38
15,40
15,41
15,45
16,3
16,5
16,7
16,8
16,22
16,33
16,37
16,38
16,39
16,41
16,43
16,46
16,48
17,2
17,9
17,12
17,17
17,32
17,33
17,35
17,36
17,37
17,40
17,42
17,46
17,48
18,1
18,7
18,11
18,13
18,15
18,16
18,19
18,35
18,43
18,44
18,45
19,2
19,3
19,4
19,7
19,13
19,19
19,21
19,22
19,25
19,26
19,27
19,28
19,33
19,41
19,45
20,3
20,10
20,14
20,27
20,28
20,30
20,35
20,36
20,38
20,39
20,40
20,41
20,48
21,4
21,5
21,8
21,21
21,27
21,29
21,32
21,33
21,36
21,39
21,40
21,42
21,47
22,3
22,15
22,18
22,22
22,29
22,33
22,37
22,40
22,41
22,45
22,49
23,1
23,5
23,12
23,15
23,19
23,20
23,24
23,28
23,29
23,31
23,40
23,46
23,48
24,5
24,8
24,13
24,21
24,22
24,24
24,29
24,31
24,33
24,42
24,46
24,47
25,2
25,3
25,7
25,13
25,16
25,21
25,23
25,25
25,32
25,41
25,44
25,47
26,4
26,15
26,17
26,19
26,22
26,24
26,26
26,32
26,38
26,39
26,40
27,10
27,12
27,14
27,19
27,21
27,25
27,26
27,28
27,38
27,39
27,42
28,0
28,2
28,15
28,25
28,27
28,28
28,29
28,34
28,35
28,38
28,41
28,42
28,47
29,8
29,16
29,18
29,34
29,43
29,45
30,9
30,12
30,18
30,19
30,22
30,29
30,34
30,35
30,39
30,43
30,47
30,49
31,4
31,7
31,8
31,15
31,19
31,25
31,29
31,32
31,33
31,37
31,40
31,43
31,46
32,2
32,7
32,8
32,17
32,20
32,25
32,31
32,34
32,37
32,38
32,45
32,46
33,2
33,3
33,4
33,6
33,9
33,14
33,15
33,19
33,27
33,35
33,40
34,4
34,6
34,8
34,18
34,19
34,25
34,34
34,40
34,47
34,48
35,2
35,4
35,7
35,9
35,15
35,16
35,20
35,21
35,28
35,35
35,42
36,16
36,20
36,24
36,31
36,45
37,1
37,2
37,6
37,8
37,11
37,13
37,19
37,20
37,21
37,22
37,25
37,26
37,27
37,29
37,32
37,35
37,37
37,38
37,42
38,0
38,5
38,8
38,9
38,12
38,14
38,15
38,18
38,21
38,22
38,23
38,25
38,26
38,36
38,45
38,47
38,49
39,3
39,8
39,9
39,10
39,12
39,13
39,14
39,15
39,21
39,40
39,44
39,45
39,48
39,49
40,4
40,6
40,11
40,12
40,17
40,23
40,28
40,29
40,30
40,40
40,47
41,0
41,3
41,12
41,18
41,20
41,24
41,38
41,41
41,46
41,49
42,2
42,7
42,12
42,13
42,20
42,27
42,28
42,30
42,36
42,40
42,41
42,43
43,0
43,3
43,8
43,14
43,21
43,22
43,24
43,26
43,29
43,35
43,38
43,44
43,47
43,49
44,2
44,3
44,8
44,13
44,16
44,19
44,28
44,33
44,42
44,47
45,5
45,7
45,11
45,13
45,16
45,17
45,27
45,28
45,33
45,35
45,37
45,42
45,44
45,47
45,48
45,49
46,4
46,8
46,11
46,12
46,13
46,19
46,21
46,22
46,25
46,26
46,38
47,1
47,5
47,6
47,11
47,17
47,28
47,31
47,35
47,36
47,37
47,38
47,39
47,43
48,7
48,8
48,17
48,22
48,23
48,31
48,32
48,34
48,39
48,42
48,43
49,8
49,11
49,16
49,17
49,20
49,21
49,22
49,40
49,42
49,45
49,49
specials
49, 36, red, 1, False
